Category_item,Weight_kg,Volumetric_Weight_kg,Fragility,Moisture_Sens,Shipping_Mode,Distance_km,Packaging_Used,Cost_USD,CO2_Emission_kg_item,Material_ID,Material_Name,Category_material,Density_kg_m3,Tensile_Strength_MPa,Cost_per_kg,CO2_Emission_kg_material,Biodegradable,co2_impact_index,cost_efficiency_index,environmental_impact_score,material_suitability_score,sustainability_score,sustainability_rating,Item_Volume_m3
Clothing,1.18,1.07,3,False,Air,2700,Kraft Paper Mailer,1.07,7.965,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,45.74,6.32,29.11,39.39,0.2605290188756778,E,0.005346
Beauty,0.25,0.04,9,True,Air,1338,Mushroom Pkg (Mycelium),1.9,0.836,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,85.7,4.59,5.17,3.72,1.0653769699464275,C,0.00018
Home Decor,2.15,1.44,9,False,Air,2130,Mushroom Pkg (Mycelium),2.66,11.449,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,40.24,31.72,21.62,3.08,1.760591962969844,B,0.0072
Beauty,0.38,0.04,8,True,Air,2093,Mushroom Pkg (Mycelium),1.75,1.988,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,74.21,7.06,9.33,4.15,0.9080384878844064,C,0.0002
Furniture,10.47,31.02,4,False,Road,300,Wood Crate,13.21,4.653,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,66.53,22.07,16.41,16.15,1.6138938687450417,B,0.1551
Clothing,0.85,1.36,5,False,Road,331,Kraft Paper Mailer,1.54,0.225,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,88.96,8.66,5.92,26.22,1.755405108884272,B,0.006804
Clothing,1.09,1.34,4,False,Air,2937,Kraft Paper Mailer,1.34,9.839,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,41.92,7.78,31.16,31.48,0.2996148812703825,E,0.00672
Electronics,2.42,0.22,8,True,Air,960,Mushroom Pkg (Mycelium),2.57,5.808,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,53.78,32.87,16.72,4.15,2.3590907679969635,B,0.001116
Beauty,0.72,0.23,3,True,Air,1233,PLA Bioplastic,0.89,2.219,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,64.59,11.14,20.15,49.94,0.6634242846935838,D,0.001152
Beauty,0.97,0.23,3,True,Road,595,PLA Bioplastic,0.99,0.289,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,82.62,13.64,9.89,49.94,1.6550048882704864,B,0.001152
Electronics,0.35,0.02,9,True,Air,2517,Mushroom Pkg (Mycelium),1.94,2.202,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,72.64,6.55,9.9,3.72,0.7939393137435037,D,9.8e-05
Clothing,0.9,1.34,5,False,Air,1351,Kraft Paper Mailer,1.54,4.526,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,56.53,8.52,23.32,26.22,0.4384219366028328,D,0.00672
Electronics,0.2,0.01,6,True,Air,2060,Honeycomb Paper,1.28,1.03,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,82.2,1.86,8.39,15.9,0.2660309575648441,E,2.5e-05
Electronics,20.69,5.8,10,True,Road,1755,Mushroom Pkg (Mycelium),10.28,18.155,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,51.26,88.97,17.64,3.37,6.052380609275475,A,0.02898
Furniture,13.44,29.74,5,False,Road,902,Wood Crate,12.9,13.413,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,54.77,27.24,22.17,13.44,1.4744248320060966,B,0.148716
Clothing,1.34,3.11,2,True,Road,690,Kraft Paper Mailer,1.64,1.073,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,81.12,7.34,10.13,52.56,0.8694964590822843,C,0.015552
Furniture,13.84,30.74,4,False,Road,1836,Wood Crate,13.1,28.219,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,45.37,22.05,26.78,16.15,0.98805074727219,C,0.15372
Electronics,22.22,7.36,10,True,Road,1647,Mushroom Pkg (Mycelium),10.89,18.298,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,50.97,90.2,17.74,3.37,6.101465270492375,A,0.0368
Clothing,1.11,1.3,3,False,Road,159,Kraft Paper Mailer,1.12,0.103,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,87.91,6.68,6.49,39.39,1.2351307804112817,C,0.00648
Electronics,21.8,7.45,9,True,Road,1335,Mushroom Pkg (Mycelium),10.52,14.552,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,53.8,82.39,16.72,3.72,5.913157541079094,A,0.03726
Electronics,0.37,0.0,6,True,Road,72,Honeycomb Paper,1.35,0.013,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,96.63,3.78,1.59,15.9,2.8528283944475503,B,0.0
Electronics,2.41,0.24,9,True,Air,1306,Mushroom Pkg (Mycelium),2.76,7.869,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,47.86,34.32,18.87,3.72,2.182511808027991,B,0.001178
Beauty,0.5,0.26,4,True,Air,1759,PLA Bioplastic,1.0,2.199,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,66.96,9.06,18.8,39.92,0.5782978415799019,D,0.00128
Furniture,52.38,308.13,7,False,Road,418,Wood Crate,124.65,64.399,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,31.39,41.23,33.64,10.05,1.470749064484273,B,1.540658
Beauty,0.31,0.03,9,True,Air,1117,Mushroom Pkg (Mycelium),1.92,0.866,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,85.19,5.79,5.36,3.72,1.2962684148752956,C,0.000144
Home Decor,1.82,1.22,9,False,Air,1916,Mushroom Pkg (Mycelium),2.53,8.718,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,46.04,28.16,19.52,3.08,1.731147452297774,B,0.006076
Electronics,2.3,0.21,9,True,Air,1438,Cornstarch Foam,2.72,8.268,368.0,Laminated Cornstarch Foam,Eco,42,0.57,2.67,1.488,Yes,40.51,27.6,17.74,0.03,1.866967200283698,B,0.001044
Beauty,0.26,0.04,10,True,Air,2718,Recycled PET Box,2.1,1.767,320.0,Recycled PVC Film,Plastic,1279,39.86,1.59,1.476,No,73.49,2.06,27.92,11.49,0.0590257858515119,E,0.00018
Electronics,21.77,5.58,10,True,Road,2310,Mushroom Pkg (Mycelium),10.71,25.144,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,46.95,89.86,19.2,3.37,5.616249707486993,A,0.027904
Clothing,1.09,4.16,2,True,Road,235,Kraft Paper Mailer,2.06,0.489,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,85.53,7.86,7.76,52.56,1.2154637608938454,C,0.0208
Furniture,53.58,242.06,5,False,Road,2410,Wood Crate,97.82,291.682,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,10.22,29.28,44.01,13.44,0.7983639900394459,D,1.21032
Clothing,1.51,4.08,3,True,Air,2451,Kraft Paper Mailer,2.23,25.0,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,22.17,10.93,41.75,39.39,0.3141556810980675,E,0.0204
Electronics,2.05,0.12,8,True,Road,650,Mushroom Pkg (Mycelium),2.42,0.666,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,89.44,29.5,3.82,4.15,9.267013280886577,A,0.00058
Beauty,0.38,0.05,9,True,Air,836,Mushroom Pkg (Mycelium),1.95,0.794,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,85.93,7.13,5.09,3.72,1.6809426952961306,B,0.00025
Home Decor,1.56,1.17,9,False,Air,2266,Mushroom Pkg (Mycelium),2.42,8.837,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,45.87,25.16,19.59,3.08,1.541194408310648,B,0.00585
Furniture,14.68,4.61,10,False,Road,1814,Mushroom Pkg (Mycelium),7.87,13.315,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,55.98,82.4,15.93,2.79,6.207155919199253,A,0.023064
Home Decor,1.13,1.22,10,False,Air,1079,Mushroom Pkg (Mycelium),2.49,3.291,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,65.08,21.14,12.64,2.79,2.006961866537827,B,0.00609
Electronics,1.75,0.24,8,True,Road,461,Mushroom Pkg (Mycelium),2.3,0.403,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,92.11,26.43,2.85,4.15,11.128417147923807,A,0.001216
Electronics,1.96,0.21,9,True,Air,1252,Mushroom Pkg (Mycelium),2.58,6.135,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,53.0,29.77,17.01,3.72,2.100176243375882,B,0.001026
Home Decor,2.86,1.06,10,False,Air,2396,Mushroom Pkg (Mycelium),3.14,17.131,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,31.4,39.89,24.82,2.79,1.928605885229416,B,0.005292
Clothing,0.82,1.28,3,False,Road,465,Kraft Paper Mailer,1.11,0.298,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,88.65,6.64,6.09,39.39,1.308374169396688,C,0.00638
Furniture,16.85,5.7,9,False,Road,476,Mushroom Pkg (Mycelium),8.54,4.01,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,67.75,78.41,11.67,3.08,8.062724244839396,A,0.0285
Beauty,0.24,0.04,9,True,Air,1087,Mushroom Pkg (Mycelium),1.9,0.652,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,88.16,4.38,4.28,3.72,1.2280370962530147,C,0.0002
Clothing,1.11,1.28,5,False,Air,2896,Kraft Paper Mailer,1.51,9.267,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,43.04,8.28,30.56,26.22,0.3251308794132566,E,0.0064
Clothing,1.84,3.62,3,True,Road,230,Kraft Paper Mailer,2.05,0.416,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,81.79,10.53,9.77,39.39,1.2933468481733013,C,0.018081
Furniture,68.99,345.51,5,False,Road,750,Wood Crate,139.2,129.566,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,21.53,29.38,38.47,13.44,0.9164543562138198,C,1.727568
Electronics,0.1,0.01,4,True,Road,419,Corrugated Cardboard,0.84,0.021,114.0,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,98.88,0.0,0.58,3.99,0.0,E,2.5e-05
Furniture,55.79,238.31,5,False,Road,1235,Wood Crate,96.32,147.156,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,20.15,29.28,39.15,13.44,0.897471241443902,C,1.191548
Beauty,0.75,0.18,3,True,Road,53,PLA Bioplastic,0.9,0.02,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,86.53,11.5,7.67,49.94,1.7992174968425687,B,0.000882
Clothing,0.18,0.18,1,False,Air,2586,Kraft Paper Mailer,0.27,1.164,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,80.44,0.73,10.49,78.9,0.0835080949944618,E,0.00088
Beauty,0.67,0.24,4,True,Air,819,PLA Bioplastic,1.07,1.372,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,70.02,11.52,17.06,39.92,0.8103164823964547,D,0.001176
Furniture,66.67,244.72,5,False,Road,63,Kraft Paper Mailer,98.89,7.709,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,32.09,25.5,36.43,26.22,0.8399670370582751,D,1.223586
Beauty,0.96,0.24,3,True,Air,1978,PLA Bioplastic,0.98,4.747,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,52.73,13.63,26.9,49.94,0.6080297171736164,D,0.001176
Clothing,0.3,0.11,1,False,Air,2244,Wood Crate,0.32,1.683,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,76.53,1.59,11.51,40.57,0.1657688822094802,E,0.00054
Electronics,0.18,0.0,6,True,Air,2126,Honeycomb Paper,1.27,0.957,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,83.18,1.63,7.92,15.9,0.2469696657866583,E,0.0
Electronics,2.4,0.22,8,True,Air,1106,Mushroom Pkg (Mycelium),2.56,6.636,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,51.23,32.72,17.65,4.15,2.2245891090884355,B,0.00108
Beauty,0.63,0.24,3,True,Air,903,PLA Bioplastic,0.85,1.422,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,70.19,10.15,16.97,49.94,0.7177371409701155,D,0.001176
Clothing,0.25,0.1,1,False,Air,2917,Kraft Paper Mailer,0.3,1.823,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,74.03,1.08,13.93,78.9,0.0930366049507103,E,0.000513
Beauty,0.58,0.24,5,True,Road,506,PLA Bioplastic,1.23,0.147,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,87.85,10.8,6.92,33.25,1.87283209930172,B,0.001176
Clothing,0.19,0.19,2,False,Road,642,Kraft Paper Mailer,0.48,0.061,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,97.05,0.99,1.58,52.56,0.7518982582922417,D,0.000936
Beauty,0.49,0.04,10,True,Air,2882,Mushroom Pkg (Mycelium),2.2,3.53,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,64.44,9.24,12.87,3.37,0.8615383945968615,C,0.00018
Clothing,1.08,3.87,3,True,Air,878,Kraft Paper Mailer,2.15,8.495,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,44.76,10.74,29.64,39.39,0.4348177990952159,D,0.01935
Clothing,1.7,4.47,4,True,Road,772,Kraft Paper Mailer,2.59,1.725,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,77.02,13.92,12.33,31.48,1.354744415673608,C,0.02236
Electronics,19.59,8.57,10,True,Road,2676,Styrofoam (EPS),9.84,26.211,105.0,Woven Styrofoam (EPS),Plastic,27,0.52,1.93,3.6,No,28.35,52.8,35.15,0.03,1.2017069359400587,C,0.04284
Clothing,0.22,0.16,2,False,Air,890,Kraft Paper Mailer,0.49,0.489,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,87.89,1.22,6.5,52.56,0.225230734579887,E,0.000792
Electronics,20.34,6.12,10,True,Road,1596,Mushroom Pkg (Mycelium),10.14,16.231,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,52.69,88.67,17.12,3.37,6.215186552851251,A,0.030624
Home Decor,1.83,1.3,9,False,Air,2410,Mushroom Pkg (Mycelium),2.53,11.026,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,41.14,28.31,21.3,3.08,1.594929502585469,B,0.00648
Furniture,61.93,243.65,7,False,Road,2765,Wood Crate,98.86,336.846,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,7.96,41.1,45.12,10.05,1.0930850821568023,C,1.21824
Electronics,21.89,6.75,9,True,Road,176,Mushroom Pkg (Mycelium),10.56,1.926,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,70.25,82.42,10.76,3.72,9.19182070707986,A,0.033728
Electronics,0.28,0.0,9,True,Air,2219,Mushroom Pkg (Mycelium),1.91,1.553,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,78.0,5.19,7.96,3.72,0.7824119620085475,D,0.0
Furniture,14.37,4.68,10,False,Road,619,Mushroom Pkg (Mycelium),7.75,4.448,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,67.77,81.91,11.66,2.79,8.42984490310078,A,0.023424
Furniture,17.53,5.7,9,False,Road,2443,Mushroom Pkg (Mycelium),8.81,21.413,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,49.5,79.09,18.27,3.08,5.194745200068682,A,0.0285
Electronics,0.39,0.02,8,True,Road,209,Mushroom Pkg (Mycelium),1.76,0.041,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,98.99,7.21,0.37,4.15,23.383720584538963,A,9e-05
Furniture,13.06,34.27,4,False,Road,776,Wood Crate,14.51,13.297,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,54.97,22.2,22.08,16.15,1.2065216844872426,C,0.17136
Clothing,1.68,3.82,4,True,Road,442,Kraft Paper Mailer,2.33,0.844,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,80.58,13.19,10.42,31.48,1.5190017736082753,B,0.01908
Furniture,15.1,4.44,10,False,Road,1638,Styrofoam (EPS),8.04,12.367,105.0,Woven Styrofoam (EPS),Plastic,27,0.52,1.93,3.6,No,34.13,49.77,32.31,0.0,1.2323119395756132,C,0.02222
Home Decor,2.06,1.43,9,False,Road,697,Mushroom Pkg (Mycelium),2.62,0.718,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,89.03,30.84,3.97,3.08,9.32191200959395,A,0.007168
Furniture,14.45,6.37,9,False,Road,286,Mushroom Pkg (Mycelium),7.58,2.066,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,73.28,75.74,9.67,3.08,9.398964901865057,A,0.03185
Electronics,2.11,0.12,9,True,Air,2921,Mushroom Pkg (Mycelium),2.64,15.408,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,33.89,31.36,23.92,3.72,1.5732440813861166,B,0.000609
Clothing,0.24,0.17,2,False,Air,1428,Kraft Paper Mailer,0.5,0.857,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,83.05,1.35,9.09,52.56,0.1782178021762594,E,0.000864
Beauty,0.52,0.19,4,True,Air,1535,PLA Bioplastic,1.01,1.996,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,67.92,9.35,18.26,39.92,0.6144577976748192,D,0.000931
Clothing,0.96,1.2,3,False,Road,786,Kraft Paper Mailer,1.08,0.472,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,86.47,6.37,7.26,39.39,1.0528924169569671,C,0.006
Electronics,15.9,7.56,10,True,Road,2014,Mushroom Pkg (Mycelium),8.36,16.011,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,53.48,84.03,16.83,3.37,5.991443494269549,A,0.0378
Furniture,66.48,235.71,7,False,Road,2661,Wood Crate,95.68,313.612,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,8.96,41.08,44.63,10.05,1.1045484852218577,C,1.17855
Electronics,23.01,6.25,9,True,Road,2492,Mushroom Pkg (Mycelium),11.0,28.67,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,45.09,83.18,19.87,3.72,5.023452188049713,B,0.03124
Furniture,10.63,35.56,6,False,Road,1729,Wood Crate,15.42,30.742,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,44.63,32.83,27.14,11.5,1.4515843238178212,B,0.177815
Furniture,10.27,42.16,4,False,Road,1803,Wood Crate,17.66,38.007,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,41.68,22.45,28.59,16.15,0.9422874801578356,C,0.210816
Clothing,1.15,1.17,5,False,Air,1077,Styrofoam (EPS),1.47,3.15,105.0,Woven Styrofoam (EPS),Plastic,27,0.52,1.93,3.6,No,50.59,10.01,24.24,0.11,0.3303630226747928,E,0.005832
Furniture,12.18,6.1,10,False,Road,1385,Mushroom Pkg (Mycelium),6.87,8.435,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,61.94,78.29,13.77,2.79,6.822657456597135,A,0.03052
Furniture,17.59,4.53,10,False,Road,577,Mushroom Pkg (Mycelium),9.04,5.075,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,65.56,85.99,12.46,2.79,8.281540266329031,A,0.022656
Clothing,0.2,0.09,2,False,Road,339,Kraft Paper Mailer,0.48,0.034,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,97.27,1.08,1.46,52.56,0.8876706248831339,C,0.000456
Electronics,0.11,0.0,6,True,Air,1539,Honeycomb Paper,1.24,0.423,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,90.97,0.76,4.25,15.9,0.21458818480278,E,1.6e-05
Electronics,0.17,0.0,4,True,Air,889,Corrugated Cardboard,0.87,0.378,114.0,Woven Corrugated Cardboard,Paper,653,7.71,1.03,0.979,Yes,90.36,0.44,4.95,3.99,0.1066666451178494,E,2e-05
Furniture,51.51,269.57,5,False,Road,785,Wood Crate,108.83,105.806,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,24.88,29.31,36.83,13.44,0.9549823254145444,C,1.34784
Electronics,0.2,0.0,6,True,Air,2428,Honeycomb Paper,1.28,1.214,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,80.29,1.86,9.29,15.9,0.240258316441516,E,2e-05
Home Decor,1.04,1.06,10,False,Air,1273,Mushroom Pkg (Mycelium),2.42,3.373,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,64.74,18.83,12.76,2.79,1.7708462562032714,B,0.005278
Clothing,0.22,0.18,2,False,Air,1428,Kraft Paper Mailer,0.49,0.785,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,84.12,1.22,8.52,52.56,0.1718309657475392,E,0.0009
Beauty,0.32,0.03,9,True,Air,2852,Mushroom Pkg (Mycelium),1.93,2.282,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,72.11,5.96,10.09,3.72,0.7088205442199659,D,0.00016
Beauty,0.23,0.03,10,True,Air,1104,Mushroom Pkg (Mycelium),2.09,0.635,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,88.42,4.22,4.19,3.37,1.2085915969948455,C,0.000144
Furniture,49.82,267.72,5,False,Road,2641,Wood Crate,108.09,353.524,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,7.38,29.31,45.41,13.44,0.7745430351344852,D,1.338624
Beauty,0.4,0.04,9,True,Air,2785,Bubble Wrap (LDPE),1.96,2.785,34.0,Standard Bubble Wrap (LDPE),Plastic,890,9.68,2.13,2.807,No,63.0,4.76,37.0,2.98,0.1029189161373265,E,0.000225
Furniture,11.26,36.48,6,False,Road,656,Wood Crate,15.79,11.965,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,56.68,32.89,21.24,11.5,1.858192002909981,B,0.18239
Electronics,1.6,0.24,7,True,Road,235,Honeycomb Paper,2.04,0.188,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,86.91,14.22,6.17,13.9,2.765639746249636,B,0.0012
Electronics,0.37,0.02,6,True,Air,1242,Honeycomb Paper,1.35,1.149,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,79.67,3.78,9.58,15.9,0.4734863806381648,D,9e-05
Home Decor,1.82,1.4,9,False,Air,2495,Mushroom Pkg (Mycelium),2.53,11.352,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,40.53,28.16,21.52,3.08,1.5702601500808475,B,0.006975
Furniture,12.86,41.5,5,False,Road,1316,Wood Crate,17.6,27.307,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,45.95,27.87,26.5,13.44,1.2620376882249928,C,0.207522
Electronics,18.78,6.57,10,True,Road,565,Mushroom Pkg (Mycelium),9.51,5.305,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,64.82,87.28,12.73,3.37,8.227493462097922,A,0.032832
Beauty,0.28,0.04,9,True,Air,2786,Mushroom Pkg (Mycelium),1.91,1.95,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,74.64,5.19,9.18,3.72,0.6784312986458282,D,0.00018
Electronics,17.78,6.6,10,True,Road,311,Mushroom Pkg (Mycelium),9.11,2.765,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,70.02,86.25,10.85,3.37,9.539169627726302,A,0.032996
Furniture,11.68,33.33,6,False,Road,2325,Wood Crate,14.53,38.746,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,41.25,32.65,28.8,11.5,1.3604166194299785,C,0.166656
Furniture,15.71,4.27,10,False,Road,386,Mushroom Pkg (Mycelium),8.28,3.032,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,70.26,83.83,10.76,2.79,9.349069763097608,A,0.02134
Clothing,1.07,1.17,5,False,Air,1049,Kraft Paper Mailer,1.47,3.068,550.0,Laminated Kraft Paper,Paper,868,59.17,1.52,1.026,Yes,61.78,7.74,20.5,26.22,0.453073148630578,D,0.005852
Furniture,15.81,4.57,9,False,Road,2883,Mushroom Pkg (Mycelium),8.12,22.79,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,48.86,77.37,18.5,3.08,5.018594323319225,B,0.022848
Beauty,0.79,0.23,3,True,Air,1183,PLA Bioplastic,0.92,2.336,575.0,Woven PLA Bioplastic,Eco,1311,74.97,3.5,1.903,Yes,63.33,11.87,20.87,49.94,0.6825107483224364,D,0.001152
Furniture,43.63,268.14,6,False,Road,1705,Wood Crate,108.46,228.589,405.0,Recycled Pine Wood Crate,Wood,484,30.47,1.74,0.29,Yes,14.02,35.24,42.15,11.5,1.003273997549846,C,1.3407
Electronics,2.49,0.26,8,True,Road,272,Mushroom Pkg (Mycelium),2.6,0.339,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,91.49,33.44,3.08,4.15,13.028567198517145,A,0.00128
Electronics,20.79,6.14,9,True,Road,1206,Mushroom Pkg (Mycelium),10.12,12.536,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,55.69,81.67,16.03,3.72,6.113786268634667,A,0.03068
Electronics,0.17,0.0,5,True,Road,531,Honeycomb Paper,1.07,0.045,602.0,Honeycomb Paper,Paper,380,42.0,1.95,0.75,Yes,98.14,1.47,0.88,18.57,2.004543176655481,B,2e-05
Electronics,0.32,0.0,9,True,Road,479,Mushroom Pkg (Mycelium),1.93,0.077,601.0,Mushroom Pkg (Mycelium),Bio-based,95,12.0,3.2,0.18,Yes,98.66,5.96,0.48,3.72,14.899968958398004,A,0.0
